mnemonic,log_curve_type_id,log_curve_main_family_id,log_curve_family_id,unit_quantity_id,unit,comment
RT,Equinor-RT,Resistivity,Resistivity%20-%20True%20Formation,electrical%20resistivity,ohm.m,null
RT_SD,Equinor-RT_SD,Resistivity,Resistivity%20-%20True%20Formation,electrical%20resistivity,ohm.m,null
RT_SH,Equinor-RT_SH,Resistivity,Resistivity%20-%20True%20Formation,electrical%20resistivity,ohm.m,null
RW,Equinor-RW,FluidProperties,Water%20Resistivity,electrical%20resistivity,ohm.m,null
LFP_CALI,Equinor-CALI,BoreholeProperties,Caliper,length,in,null
LFP_BS,Equinor-BS,BoreholeProperties,EQ-Bit%20Size,length,in,null
CALI,Equinor-CALI,BoreholeProperties,Caliper,length,in,null
BS,Equinor-BS,BoreholeProperties,EQ-Bit%20Size,length,in,null
MD,Equinor-DEPTH,Reference,EQ-Measured%20Depth,length,ms,null
LFP_VPW,Equinor-VPW,Velocity,Brine%20Velocity,length%20per%20time,m/s,null
LFP_VP,Equinor-VP,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VP_B,Equinor-VP_B,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VP_CKS,Equinor-VP_CKS,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VP_CO2,Equinor-VP_CO2,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VP_G,Equinor-VP_G,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VP_GC,Equinor-VP_GC,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VP_LOG,Equinor-VP_LOG,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VP_O,Equinor-VP_O,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VP_V,Equinor-VP_V,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VP0,Equinor-VP0,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VPMF,Equinor-VPMF,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VPO,Equinor-VPO,Velocity,EQ-Compressional%20Velocity,length%20per%20time,m/s,null
LFP_VS,Equinor-VS,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_B,Equinor-VS_B,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_CO2,Equinor-VS_CO2,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_FAST,Equinor-VS_FAST,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_G,Equinor-VS_G,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_GC,Equinor-VS_GC,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_KRIEF,Equinor-VS_KRIEF,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_LOG,Equinor-VS_LOG,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_O,Equinor-VS_O,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_SLOW,Equinor-VS_SLOW,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS_V,Equinor-VS_V,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VS0,Equinor-VS0,Velocity,EQ-Shear%20Velocity,length%20per%20time,m/s,null
LFP_VPG,Equinor-VPG,Velocity,Gas%20Velocity,length%20per%20time,m/s,null
ROP,Equinor-ROP,DrillingParameters,EQ-Rate%20Of%20Penetration,length%20per%20time,m/h,null
WOB,Equinor-WOB,DrillingParameters,EQ-Weight%20On%20Bit,mass,t,null
LFP_K,Equinor-K,WeightFraction-Element,EQ-Potassium%20Weight%20Fraction,mass%20per%20mass,%,null
LFP_TH,Equinor-TH,WeightFraction-Element,EQ-Thorium%20Weight%20Fraction,mass%20per%20mass,ppm,null
LFP_U,Equinor-U,WeightFraction-Element,EQ-Uranium%20Weight%20Fraction,mass%20per%20mass,ppm,null
K,Equinor-K,WeightFraction-Element,EQ-Potassium%20Weight%20Fraction,mass%20per%20mass,%,null
TH,Equinor-TH,WeightFraction-Element,EQ-Thorium%20Weight%20Fraction,mass%20per%20mass,ppm,null
U,Equinor-U,WeightFraction-Element,EQ-Uranium%20Weight%20Fraction,mass%20per%20mass,ppm,null
LFP_RHOW,Equinor-RHOW,Density,Brine%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOB,Equinor-RHOB,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOB_B,Equinor-RHOB_B,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOB_CO2,Equinor-RHOB_CO2,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOB_FAUST,Equinor-RHOB_FAUST,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOB_G,Equinor-RHOB_G,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOB_LOG,Equinor-RHOB_LOG,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOB_O,Equinor-RHOB_O,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOB_SYNT,Equinor-RHOB_SYNT,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOB_V,Equinor-RHOB_V,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
LFP_DRHO,Equinor-DRHO,Density,Bulk%20Density%20Correction,mass%20per%20volume,g/cm3,null
LFP_RHOCO2,Equinor-RHOCO2,Density,EQ-CO2%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOBFAR_HILT_B,Equinor-RHOBFAR_HILT_B,Density,EQ-Elastic%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOBFAR_HILT_CO2,Equinor-RHOBFAR_HILT_CO2,Density,EQ-Elastic%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOBFAR_HILT_G,Equinor-RHOBFAR_HILT_G,Density,EQ-Elastic%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOBFAR_HILT_O,Equinor-RHOBFAR_HILT_O,Density,EQ-Elastic%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOBFAR_HILT_V,Equinor-RHOBFAR_HILT_V,Density,EQ-Elastic%20Density,mass%20per%20volume,g/cm3,null
LFP_LCARHOB,Equinor-LCARHOB,Density,EQ-RHOB%20Cutoff%20Flag,mass%20per%20volume,g/cm3,null
LFP_LCORHOB,Equinor-LCORHOB,Density,EQ-RHOB%20Cutoff%20Flag,mass%20per%20volume,g/cm3,null
LFP_RHOBSH,Equinor-RHOBSH,Density,EQ-Shale%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOBSHNC,Equinor-RHOBSHNC,Density,EQ-Shale%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOFLE,Equinor-RHOFLE,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOFLEC,Equinor-RHOFLEC,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOFLEWC,Equinor-RHOFLEWC,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOFLT,Equinor-RHOFLT,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOFLTC,Equinor-RHOFLTC,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOFLTWC,Equinor-RHOFLTWC,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOHA,Equinor-RHOHA,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOHW,Equinor-RHOHW,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOMF,Equinor-RHOMF,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOG,Equinor-RHOG,FluidProperties,Gas%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOMA,Equinor-RHOMA,Density,Grain%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOMANC,Equinor-RHOMANC,Density,Grain%20Density,mass%20per%20volume,g/cm3,null
LFP_RHOO,Equinor-RHOO,FluidProperties,Oil%20Density,mass%20per%20volume,g/cm3,null
RHOB,Equinor-RHOB,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
RHOB_EDIT,Equinor-RHOB,Density,Bulk%20Density,mass%20per%20volume,g/cm3,null
DRHO,Equinor-DRHO,Density,Bulk%20Density%20Correction,mass%20per%20volume,g/cm3,null
RHO_FL,Equinor-RHO_FL,FluidProperties,Fluid%20Density,mass%20per%20volume,g/cm3,null
RHO_MA,Equinor-RHO_MA,Density,Grain%20Density,mass%20per%20volume,g/cm3,null
LFP_ARCHIE_M,Equinor-ARCHIE_M,PetrophysicalParameters,Archie%20Porosity%20Exponent%20m,non-dimensional,unitless,null
LFP_ARCHIE_N,Equinor-ARCHIE_N,PetrophysicalParameters,Archie%20Saturation%20Exponent%20n,non-dimensional,unitless,null
LFP_CMTSST,Equinor-CMTSST,Flag,EQ-Calcite%20Flag,non-dimensional,unitless,null
LFP_COAL,Equinor-COAL_FLAG,Flag,EQ-Coal%20Flag,non-dimensional,unitless,null
LFP_SLOPE,Equinor-SLOPE,ToolParameters,EQ-Correction%20Factor,non-dimensional,unitless,null
LFP_FLUIDFLAG,Equinor-FLUID_FLAG,Flag,EQ-Fluid%20Code,non-dimensional,unitless,null
LFP_SGG_G,Equinor-SGG_G,FluidProperties,EQ-Gas%20Gravity,non-dimensional,unitless,null
LFP_SGG_O,Equinor-SGG_O,FluidProperties,EQ-Gas%20Gravity,non-dimensional,unitless,null
LFP_ANHYDRITE,Equinor-ANHYDRITE,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_BADDATA,Equinor-BADDATA,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_CARB,Equinor-CARB,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_DT0FLAG,Equinor-DT0FLAG,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_DTCORFSFLAG,Equinor-DTCORFSFLAG,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_DTLOGFLAG,Equinor-DTLOGFLAG,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_DTS0FLAG,Equinor-DTS0FLAG,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_DTSCORFSFLAG,Equinor-DTSCORFSFLAG,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_DTSLOGFLAG,Equinor-DTSLOGFLAG,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_GAMMALOGFLAG,Equinor-GAMMALOGFLAG,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_GAS,Equinor-GAS,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_HALITE,Equinor-HALITE,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_HALITE_CEMENT,Equinor-HALITE_CEMENT,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_MODEL,Equinor-MODEL,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_MODELNC,Equinor-MODELNC,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_OIL,Equinor-OIL,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_RHOBLOGFLAG,Equinor-RHOBLOGFLAG,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_RTLOGFLAG,Equinor-RTLOGFLAG,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_SUBST,Equinor-SUBST,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_WATER,Equinor-WATER,Flag,EQ-General%20Flag,non-dimensional,unitless,null
LFP_SAND,Equinor-NET_FLAG,Flag,EQ-Net%20Reservoir%20Flag,non-dimensional,unitless,null
LFP_SANDC,Equinor-SANDC,Flag,EQ-Net%20Reservoir%20Flag,non-dimensional,unitless,null
LFP_SANDP,Equinor-SANDP,Flag,EQ-Net%20Reservoir%20Flag,non-dimensional,unitless,null
LFP_SANDWC,Equinor-SANDWC,Flag,EQ-Net%20Reservoir%20Flag,non-dimensional,unitless,null
LFP_PR,Equinor-PR,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_B,Equinor-PR_B,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_CO2,Equinor-PR_CO2,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_G,Equinor-PR_G,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_LOG,Equinor-PR_LOG,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_O,Equinor-PR_O,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_SH_SYNT,Equinor-PR_SH_SYNT,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_SS_B_SYNT,Equinor-PR_SS_B_SYNT,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_SS_G_SYNT,Equinor-PR_SS_G_SYNT,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_SS_O_SYNT,Equinor-PR_SS_O_SYNT,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PR_V,Equinor-PR_V,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PRSKEL,Equinor-PRSKEL,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_PRSKELNC,Equinor-PRSKELNC,Geomechanics,EQ-Poisson%20Ratio%20%28Dynamic%29,non-dimensional,unitless,null
LFP_RVRH,Equinor-RVRH,Resistivity,EQ-Resistivity%20Anisotropy,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_B_F,Equinor-SEIS_SYNT_R20_B_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_B_FNDIF,Equinor-SEIS_SYNT_R20_B_FNDIF,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_B_N,Equinor-SEIS_SYNT_R20_B_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_G_F,Equinor-SEIS_SYNT_R20_G_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_G_FNDIF,Equinor-SEIS_SYNT_R20_G_FNDIF,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_G_N,Equinor-SEIS_SYNT_R20_G_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_GBDIF_F,Equinor-SEIS_SYNT_R20_GBDIF_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_GBDIF_N,Equinor-SEIS_SYNT_R20_GBDIF_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_GODIF_F,Equinor-SEIS_SYNT_R20_GODIF_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_GODIF_N,Equinor-SEIS_SYNT_R20_GODIF_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_O_F,Equinor-SEIS_SYNT_R20_O_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_O_FNDIF,Equinor-SEIS_SYNT_R20_O_FNDIF,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_O_N,Equinor-SEIS_SYNT_R20_O_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_OBDIF_F,Equinor-SEIS_SYNT_R20_OBDIF_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_OBDIF_N,Equinor-SEIS_SYNT_R20_OBDIF_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_V_F,Equinor-SEIS_SYNT_R20_V_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_V_FNDIF,Equinor-SEIS_SYNT_R20_V_FNDIF,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R20_V_N,Equinor-SEIS_SYNT_R20_V_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_B_F,Equinor-SEIS_SYNT_R30_B_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_B_FNDIF,Equinor-SEIS_SYNT_R30_B_FNDIF,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_B_N,Equinor-SEIS_SYNT_R30_B_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_G_F,Equinor-SEIS_SYNT_R30_G_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_G_FNDIF,Equinor-SEIS_SYNT_R30_G_FNDIF,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_G_N,Equinor-SEIS_SYNT_R30_G_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_GBDIF_F,Equinor-SEIS_SYNT_R30_GBDIF_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_GBDIF_N,Equinor-SEIS_SYNT_R30_GBDIF_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_GODIF_F,Equinor-SEIS_SYNT_R30_GODIF_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_GODIF_N,Equinor-SEIS_SYNT_R30_GODIF_N,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
LFP_SEIS_SYNT_R30_O_F,Equinor-SEIS_SYNT_R30_O_F,Geophysics,EQ-Synthetic%20Seismogram,non-dimensional,unitless,null
